Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
23.70	79.00	6.88
23.60	79.00	6.90
23.70	79.00	6.92
23.70	79.00	6.97
23.70	79.00	6.97
23.70	79.00	7.02
23.70	79.00	6.84
23.70	79.00	6.90
23.70	79.00	6.00
23.60	79.00	6.99
23.70	80.00	6.97
23.70	79.00	6.88
23.70	79.00	5.92
23.60	79.00	6.90
23.70	80.00	6.97
23.60	80.00	6.76
23.70	80.00	6.93
23.70	80.00	5.94
23.70	80.00	6.93
23.70	80.00	6.99
23.70	80.00	6.97
23.70	80.00	6.90
23.70	80.00	6.90
23.60	80.00	6.90
23.70	80.00	6.90
23.70	80.00	6.95
23.70	80.00	6.99
23.70	80.00	6.88
23.70	80.00	6.92
23.70	80.00	6.88
23.70	80.00	6.86
23.70	80.00	6.97
23.70	80.00	6.97
23.70	80.00	6.92
23.60	80.00	6.86
23.70	80.00	6.86
23.70	80.00	6.99
23.60	80.00	6.97
23.70	80.00	6.92
23.70	80.00	6.86
23.70	80.00	6.86
23.70	80.00	6.92
23.60	80.00	6.99
23.70	80.00	6.93
23.70	80.00	6.67
23.70	80.00	5.93
23.60	80.00	6.95
23.70	80.00	6.97
23.70	80.00	6.92
23.70	80.00	6.90
23.70	80.00	6.05
23.70	80.00	6.92
23.70	80.00	6.95
23.70	80.00	6.93
23.70	80.00	6.95
23.70	80.00	6.86
23.70	80.00	6.86
23.70	80.00	5.96
23.60	80.00	6.92
23.70	80.00	6.99
23.70	80.00	7.27
23.70	80.00	6.92
23.70	80.00	6.88
23.70	80.00	6.86
23.70	80.00	6.99
23.70	80.00	6.97
23.70	80.00	6.92
23.60	80.00	6.88
23.70	80.00	6.88
23.70	80.00	6.97
23.60	80.00	6.97
23.70	80.00	6.90
23.70	80.00	6.88
23.70	79.00	6.88
23.60	79.00	6.97
23.60	79.00	6.97
23.70	79.00	7.08
23.70	79.00	6.69
23.70	79.00	5.93
23.60	79.00	6.97
23.60	79.00	6.90
23.70	79.00	6.76
23.60	79.00	6.86
23.70	78.00	6.86
23.70	78.00	6.90
23.70	78.00	6.92
23.60	78.00	6.97
23.60	78.00	6.97
23.60	78.00	6.90
23.70	78.00	6.86
23.60	79.00	6.88
23.60	79.00	6.93
23.70	79.00	7.22
23.70	79.00	6.95
23.70	79.00	6.92
23.70	79.00	6.83
23.60	79.00	6.90
23.70	79.00	6.97
23.70	79.00	6.97
23.70	79.00	6.93
23.60	79.00	6.86
23.70	80.00	6.00
23.70	79.00	6.92
23.70	79.00	6.88
23.70	80.00	6.97
23.70	80.00	6.97
23.70	80.00	6.90
23.70	80.00	6.84
23.70	80.00	6.88
23.70	80.00	6.00
23.60	80.00	6.97
23.70	80.00	6.95
23.70	80.00	6.93
23.70	80.00	6.84
23.70	80.00	6.86
23.60	80.00	6.84
23.70	81.00	6.90
23.60	81.00	6.95
23.70	81.00	6.95
23.70	81.00	6.88
23.60	80.00	6.86
23.60	81.00	6.90
23.70	81.00	6.99
23.70	81.00	6.93
23.60	81.00	5.92
23.60	81.00	6.88
23.60	81.00	6.92
23.60	81.00	6.99
23.60	81.00	6.97
23.70	81.00	6.88
23.70	81.00	6.84
